pin,slack
blinky_0/ledsState[12]:CLK,
blinky_0/ledsState[12]:D,90590
blinky_0/ledsState[12]:Q,
blinky_0/counter[27]:CLK,89517
blinky_0/counter[27]:D,89075
blinky_0/counter[27]:Q,89517
PF_CCC_C0_0/PF_CCC_C0_0/clkint_0/U0_RGB1:A,
PF_CCC_C0_0/PF_CCC_C0_0/clkint_0/U0_RGB1:Y,
LEDS_obuf[13]/U_IOPAD:D,
LEDS_obuf[13]/U_IOPAD:E,
LEDS_obuf[13]/U_IOPAD:PAD,
blinky_0/counter_cry[5]:B,89180
blinky_0/counter_cry[5]:CC,89207
blinky_0/counter_cry[5]:P,89180
blinky_0/counter_cry[5]:S,89207
blinky_0/counter_cry[5]:Y3,
blinky_0/counter_cry[5]:Y3A,
blinky_0/counter_cry[22]:B,89298
blinky_0/counter_cry[22]:CC,89070
blinky_0/counter_cry[22]:P,89298
blinky_0/counter_cry[22]:S,89070
blinky_0/counter_cry[22]:Y3,
blinky_0/counter_cry[22]:Y3A,
blinky_0/counter[11]:CLK,89240
blinky_0/counter[11]:D,89149
blinky_0/counter[11]:Q,89240
blinky_0/counter[22]:CLK,89298
blinky_0/counter[22]:D,89070
blinky_0/counter[22]:Q,89298
MSS_barebones_0/REFCLK_IOINST/U_IOPADN:PAD,
MSS_barebones_0/REFCLK_IOINST/U_IOPADN:Y,
LEDS_obuf[5]/U_IOPAD:D,
LEDS_obuf[5]/U_IOPAD:E,
LEDS_obuf[5]/U_IOPAD:PAD,
blinky_0/counter[24]:CLK,89316
blinky_0/counter[24]:D,89105
blinky_0/counter[24]:Q,89316
LEDS_obuf[8]/U_IOPAD:D,
LEDS_obuf[8]/U_IOPAD:E,
LEDS_obuf[8]/U_IOPAD:PAD,
blinky_0/counter_cry[26]:B,89331
blinky_0/counter_cry[26]:CC,89009
blinky_0/counter_cry[26]:P,89331
blinky_0/counter_cry[26]:S,89009
blinky_0/counter_cry[26]:Y3,
blinky_0/counter_cry[26]:Y3A,
blinky_0/counter_cry[13]:B,89128
blinky_0/counter_cry[13]:CC,89171
blinky_0/counter_cry[13]:P,89128
blinky_0/counter_cry[13]:S,89171
blinky_0/counter_cry[13]:Y3,
blinky_0/counter_cry[13]:Y3A,
LEDS_obuf[11]/U_IOTRI:D,
LEDS_obuf[11]/U_IOTRI:DOUT,
LEDS_obuf[11]/U_IOTRI:EOUT,
blinky_0/counter_cry[21]:B,89347
blinky_0/counter_cry[21]:CC,89133
blinky_0/counter_cry[21]:P,89347
blinky_0/counter_cry[21]:S,89133
blinky_0/counter_cry[21]:Y3,
blinky_0/counter_cry[21]:Y3A,
blinky_0/counter_RNO[0]:A,89811
blinky_0/counter_RNO[0]:Y,89811
blinky_0/counter_cry[4]:B,89092
blinky_0/counter_cry[4]:CC,89245
blinky_0/counter_cry[4]:P,89092
blinky_0/counter_cry[4]:S,89245
blinky_0/counter_cry[4]:Y3,
blinky_0/counter_cry[4]:Y3A,
blinky_0/counter[20]:CLK,89284
blinky_0/counter[20]:D,89063
blinky_0/counter[20]:Q,89284
TCK_ibuf/U_IOPAD:PAD,
TCK_ibuf/U_IOPAD:Y,
blinky_0/ledsState[6]:CLK,
blinky_0/ledsState[6]:D,90590
blinky_0/ledsState[6]:Q,
blinky_0/counter_cry[24]:B,89316
blinky_0/counter_cry[24]:CC,89105
blinky_0/counter_cry[24]:P,89316
blinky_0/counter_cry[24]:S,89105
blinky_0/counter_cry[24]:Y3,
blinky_0/counter_cry[24]:Y3A,
TDO_OE_obuf/U_IOPAD:D,
TDO_OE_obuf/U_IOPAD:E,
TDO_OE_obuf/U_IOPAD:PAD,
blinky_0/counter[4]:CLK,89092
blinky_0/counter[4]:D,89245
blinky_0/counter[4]:Q,89092
PF_CCC_C0_0/PF_CCC_C0_0/clkint_0_1:A,
PF_CCC_C0_0/PF_CCC_C0_0/clkint_0_1:Y,
blinky_0/counter_cry[20]:B,89284
blinky_0/counter_cry[20]:CC,89063
blinky_0/counter_cry[20]:P,89284
blinky_0/counter_cry[20]:S,89063
blinky_0/counter_cry[20]:Y3,
blinky_0/counter_cry[20]:Y3A,
blinky_0/ledsState[4]:CLK,
blinky_0/ledsState[4]:D,90590
blinky_0/ledsState[4]:Q,
blinky_0/counter[25]:CLK,89239
blinky_0/counter[25]:D,89052
blinky_0/counter[25]:Q,89239
blinky_0/counter_s[28]:B,89631
blinky_0/counter_s[28]:CC,89016
blinky_0/counter_s[28]:P,
blinky_0/counter_s[28]:S,89016
blinky_0/counter_s[28]:Y3,
blinky_0/counter_s[28]:Y3A,
LEDS_obuf[4]/U_IOTRI:D,
LEDS_obuf[4]/U_IOTRI:DOUT,
LEDS_obuf[4]/U_IOTRI:EOUT,
LEDS_obuf[12]/U_IOTRI:D,
LEDS_obuf[12]/U_IOTRI:DOUT,
LEDS_obuf[12]/U_IOTRI:EOUT,
blinky_0/counter_cry[3]:B,89166
blinky_0/counter_cry[3]:CC,89303
blinky_0/counter_cry[3]:P,89166
blinky_0/counter_cry[3]:S,89303
blinky_0/counter_cry[3]:Y3,
blinky_0/counter_cry[3]:Y3A,
TDI_ibuf/U_IOIN:Y,
TDI_ibuf/U_IOIN:YIN,
blinky_0/counter_s_1_CC_0:CC[0],
blinky_0/counter_s_1_CC_0:CC[10],89187
blinky_0/counter_s_1_CC_0:CC[11],89149
blinky_0/counter_s_1_CC_0:CC[1],89533
blinky_0/counter_s_1_CC_0:CC[2],89491
blinky_0/counter_s_1_CC_0:CC[3],89303
blinky_0/counter_s_1_CC_0:CC[4],89245
blinky_0/counter_s_1_CC_0:CC[5],89207
blinky_0/counter_s_1_CC_0:CC[6],89277
blinky_0/counter_s_1_CC_0:CC[7],89223
blinky_0/counter_s_1_CC_0:CC[8],89180
blinky_0/counter_s_1_CC_0:CC[9],89250
blinky_0/counter_s_1_CC_0:CO,89009
blinky_0/counter_s_1_CC_0:P[0],89080
blinky_0/counter_s_1_CC_0:P[10],89185
blinky_0/counter_s_1_CC_0:P[11],89240
blinky_0/counter_s_1_CC_0:P[1],89009
blinky_0/counter_s_1_CC_0:P[2],89109
blinky_0/counter_s_1_CC_0:P[3],89166
blinky_0/counter_s_1_CC_0:P[4],89092
blinky_0/counter_s_1_CC_0:P[5],89180
blinky_0/counter_s_1_CC_0:P[6],89150
blinky_0/counter_s_1_CC_0:P[7],89108
blinky_0/counter_s_1_CC_0:P[8],89171
blinky_0/counter_s_1_CC_0:P[9],89234
blinky_0/counter_s_1_CC_0:Y3A[0],
blinky_0/counter_s_1_CC_0:Y3A[10],
blinky_0/counter_s_1_CC_0:Y3A[11],
blinky_0/counter_s_1_CC_0:Y3A[1],
blinky_0/counter_s_1_CC_0:Y3A[2],
blinky_0/counter_s_1_CC_0:Y3A[3],
blinky_0/counter_s_1_CC_0:Y3A[4],
blinky_0/counter_s_1_CC_0:Y3A[5],
blinky_0/counter_s_1_CC_0:Y3A[6],
blinky_0/counter_s_1_CC_0:Y3A[7],
blinky_0/counter_s_1_CC_0:Y3A[8],
blinky_0/counter_s_1_CC_0:Y3A[9],
blinky_0/counter_s_1_CC_0:Y3[0],
blinky_0/counter_s_1_CC_0:Y3[10],
blinky_0/counter_s_1_CC_0:Y3[11],
blinky_0/counter_s_1_CC_0:Y3[1],
blinky_0/counter_s_1_CC_0:Y3[2],
blinky_0/counter_s_1_CC_0:Y3[3],
blinky_0/counter_s_1_CC_0:Y3[4],
blinky_0/counter_s_1_CC_0:Y3[5],
blinky_0/counter_s_1_CC_0:Y3[6],
blinky_0/counter_s_1_CC_0:Y3[7],
blinky_0/counter_s_1_CC_0:Y3[8],
blinky_0/counter_s_1_CC_0:Y3[9],
TRSTB_ibuf/U_IOPAD:PAD,
TRSTB_ibuf/U_IOPAD:Y,
blinky_0/counter[7]:CLK,89108
